#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1     -3.845430e-01     -3.845430e-01      0.000000e+00
                 2     -3.938841e-01     -3.892135e-01      3.302562e-03
                 3     -4.154497e-01     -3.979589e-01      7.472313e-03
                 4     -3.610706e-01     -3.887368e-01      9.756663e-03
                 5     -3.844360e-01     -3.878767e-01      7.843156e-03
                 6     -4.440882e-01     -3.972453e-01      1.076387e-02
                 7     -4.394609e-01     -4.032761e-01      1.078411e-02
                 8     -4.051550e-01     -4.035109e-01      9.438657e-03
                 9     -3.821474e-01     -4.011372e-01      8.683272e-03
                10     -4.254634e-01     -4.035698e-01      8.148573e-03
                11     -3.837078e-01     -4.017642e-01      7.605218e-03
                12     -3.875576e-01     -4.005803e-01      7.062995e-03
                13     -4.116836e-01     -4.014344e-01      6.571126e-03
                14     -4.549303e-01     -4.052556e-01      7.126682e-03
                15     -4.858473e-01     -4.106283e-01      8.437165e-03
                16     -4.485097e-01     -4.129959e-01      8.235333e-03
                17     -3.841610e-01     -4.112998e-01      7.923650e-03
                18     -3.916974e-01     -4.102107e-01      7.557914e-03
                19     -4.122113e-01     -4.103160e-01      7.160863e-03
                20     -4.116203e-01     -4.103812e-01      6.803116e-03
