#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1      4.792760e-02      4.792760e-02      0.000000e+00
                 2      5.187627e-02      4.990194e-02      1.396065e-03
                 3      5.271419e-02      5.083936e-02      1.205013e-03
                 4      4.987603e-02      5.059853e-02      9.275132e-04
                 5      4.490757e-02      4.946034e-02      1.259747e-03
                 6      4.852124e-02      4.930382e-02      1.059467e-03
                 7      5.262661e-02      4.977850e-02      1.008865e-03
                 8      4.963082e-02      4.976004e-02      8.829255e-04
                 9      4.902261e-02      4.967811e-02      7.886155e-04
                10      5.084329e-02      4.979462e-02      7.183102e-04
                11      4.777340e-02      4.961088e-02      6.761026e-04
                12      5.048908e-02      4.968406e-02      6.237090e-04
                13      4.985251e-02      4.969702e-02      5.758660e-04
                14      5.044974e-02      4.975078e-02      5.372367e-04
                15      5.492995e-02      5.009606e-02      6.022392e-04
                16      5.254987e-02      5.024943e-02      5.838002e-04
                17      4.923629e-02      5.018983e-02      5.524925e-04
                18      5.025959e-02      5.019370e-02      5.218121e-04
                19      4.921445e-02      5.014216e-02      4.968871e-04
                20      5.300242e-02      5.028518e-02      4.921934e-04
