#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1     -5.072851e+00     -5.072851e+00      0.000000e+00
                 2     -5.036947e+00     -5.054899e+00      1.269413e-02
                 3     -5.035553e+00     -5.048450e+00      9.967114e-03
                 4     -4.992949e+00     -5.034575e+00      1.415184e-02
                 5     -5.006801e+00     -5.029020e+00      1.236367e-02
                 6     -5.010740e+00     -5.025973e+00      1.067183e-02
                 7     -5.050173e+00     -5.029430e+00      9.691055e-03
                 8     -5.042530e+00     -5.031068e+00      8.616895e-03
                 9     -5.033191e+00     -5.031304e+00      7.662690e-03
                10     -5.042921e+00     -5.032465e+00      6.983924e-03
                11     -5.031977e+00     -5.032421e+00      6.349163e-03
                12     -5.016046e+00     -5.031056e+00      5.964907e-03
                13     -5.008702e+00     -5.029337e+00      5.748589e-03
                14     -5.020255e+00     -5.028688e+00      5.374453e-03
                15     -5.019997e+00     -5.028109e+00      5.047295e-03
                16     -5.027546e+00     -5.028074e+00      4.731962e-03
                17     -5.024846e+00     -5.027884e+00      4.457417e-03
                18     -5.021525e+00     -5.027531e+00      4.223757e-03
                19     -5.051918e+00     -5.028814e+00      4.191944e-03
                20     -4.985051e+00     -5.026626e+00      4.517487e-03
