#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1      1.911718e+00      1.911718e+00      0.000000e+00
                 2      2.011874e+00      1.961796e+00      3.541051e-02
                 3      2.050372e+00      1.991321e+00      3.374101e-02
                 4      2.322317e+00      2.074070e+00      7.599947e-02
                 5      2.146560e+00      2.088568e+00      6.216706e-02
                 6      2.243993e+00      2.114472e+00      5.694771e-02
                 7      1.993185e+00      2.097145e+00      5.138063e-02
                 8      2.044720e+00      2.090592e+00      4.537403e-02
                 9      1.978627e+00      2.078152e+00      4.200334e-02
                10      1.964905e+00      2.066827e+00      3.930000e-02
                11      2.170196e+00      2.076224e+00      3.683364e-02
                12      2.171514e+00      2.084165e+00      3.460954e-02
                13      2.312682e+00      2.101743e+00      3.613658e-02
                14      2.153457e+00      2.105437e+00      3.374366e-02
                15      2.120475e+00      2.106440e+00      3.150897e-02
                16      2.142100e+00      2.108668e+00      2.961838e-02
                17      2.183175e+00      2.113051e+00      2.819852e-02
                18      2.184515e+00      2.117021e+00      2.690998e-02
                19      2.195844e+00      2.121170e+00      2.581146e-02
                20      2.298738e+00      2.130048e+00      2.600305e-02
