#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1     -9.803920e-01     -9.803920e-01      0.000000e+00
                 2     -9.750400e-01     -9.777160e-01      1.892218e-03
                 3     -9.701280e-01     -9.751867e-01      2.419989e-03
                 4     -9.769320e-01     -9.756230e-01      1.853911e-03
                 5     -9.767520e-01     -9.758488e-01      1.496816e-03
                 6     -9.717080e-01     -9.751587e-01      1.397418e-03
                 7     -9.704560e-01     -9.744869e-01      1.349647e-03
                 8     -9.740160e-01     -9.744280e-01      1.182224e-03
                 9     -9.741520e-01     -9.743973e-01      1.051263e-03
                10     -9.742440e-01     -9.743820e-01      9.462486e-04
                11     -9.691320e-01     -9.739047e-01      9.731751e-04
                12     -9.726800e-01     -9.738027e-01      8.974130e-04
                13     -9.733640e-01     -9.737689e-01      8.290154e-04
                14     -9.738480e-01     -9.737746e-01      7.698192e-04
                15     -9.735240e-01     -9.737579e-01      7.186792e-04
                16     -9.767080e-01     -9.739422e-01      6.970131e-04
                17     -9.716880e-01     -9.738096e-01      6.685068e-04
                18     -9.790520e-01     -9.741009e-01      6.919064e-04
                19     -9.707680e-01     -9.739255e-01      6.773614e-04
                20     -9.753960e-01     -9.739990e-01      6.474716e-04
