T   MEAN    SIGMA
0.5      3.333943e-01      5.095326e-03
0.75      4.335233e-01      2.774202e-03
1.0      4.187254e-01      1.455072e-03
1.25      3.554741e-01      1.152852e-03
1.5      2.931922e-01      7.564479e-04
1.75      2.392876e-01      4.660950e-04
2.0      1.966189e-01      5.194065e-04
