T   MEAN    SIGMA
0.5      3.957527e+03      3.311544e+01
0.75      9.325381e+02      1.096293e+01
1.0      3.698531e+02      3.098150e+00
1.25      1.976235e+02      1.430234e+00
1.5      1.262372e+02      6.912997e-01
1.75      8.988584e+01      3.633638e-01
2.0           6.823950e+01      2.462089e-01
