#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1      9.617124e+00      9.617124e+00      0.000000e+00
                 2      9.600719e+00      9.608921e+00      5.799948e-03
                 3      9.581604e+00      9.599815e+00      8.380226e-03
                 4      9.591697e+00      9.597786e+00      6.526291e-03
                 5      9.683497e+00      9.614928e+00      1.619704e-02
                 6      9.592833e+00      9.611246e+00      1.390987e-02
                 7      9.570822e+00      9.605471e+00      1.306662e-02
                 8      9.618322e+00      9.607077e+00      1.153161e-02
                 9      9.613578e+00      9.607799e+00      1.027292e-02
                10      9.571332e+00      9.604153e+00      9.871693e-03
                11      9.623575e+00      9.605918e+00      9.130799e-03
                12      9.633820e+00      9.608243e+00      8.660878e-03
                13      9.577664e+00      9.605891e+00      8.307947e-03
                14      9.595550e+00      9.605153e+00      7.747292e-03
                15      9.625894e+00      9.606535e+00      7.353171e-03
                16      9.592137e+00      9.605635e+00      6.948442e-03
                17      9.629509e+00      9.607040e+00      6.680120e-03
                18      9.617268e+00      9.607608e+00      6.333125e-03
                19      9.602935e+00      9.607362e+00      6.004577e-03
                20      9.585512e+00      9.606270e+00      5.802888e-03
